,mean,std
AGE,78.82410714285712,6.57630534482828
PTEDUCAT,15.526785714285714,2.8694093984669213
VSBPSYS,136.11607142857142,18.7946444047542
VSBPDIA,73.75,10.417846779998808
BMI,26.601418182770544,4.195922143820111
Alpha-1-Microglobulin (A1Micro) (ug/ml),1.1701321428571432,0.11963476529604118
Alpha-2-Macroglobulin (A2Macro) (mg/mL),0.062244732142857175,0.11741989667455313
Alpha-1-Antichymotrypsin (AACT) (ug/ml),2.5611908035714284,0.20614126323338694
Alpha-1-Antitrypsin (AAT) (mg/mL),0.46060535714285683,0.09801904341475369
Angiotensin-Converting Enzyme (ACE) (ng/ml),2.021089017857142,0.1699629926436813
Adiponectin (ug/mL),0.7603894642857142,0.2624327063734343
Alpha-Fetoprotein (AFP) (ng/mL),0.506218392857143,0.30593553194341766
Agouti-Related Protein (AGRP) (pg/mL),2.2496138392857143,0.37126851178828446
Angiopoietin-2 (ANG-2) (ng/mL),0.7467433035714285,0.17004023651222155
Angiotensinogen (ng/mL),1.4334969642857136,0.8747904711959352
Apolipoprotein A-I (Apo A-I) (mg/mL),-0.28129830357142843,0.15080482099068696
Apolipoprotein A-II (Apo A-II) (ng/ml),2.6714126785714285,0.12135413591827979
Apolipoprotein A-IV (Apo A-IV) (ug/ml),1.277591071428572,0.19101994114269066
Apolipoprotein B (Apo B) (ug/ml),3.1785222321428575,0.11129700958165721
Apolipoprotein C-I (Apo C-I) (ng/ml),2.5371550892857146,0.13283569201786774
Apolipoprotein C-III (Apo C-III) (ug/mL),2.165913035714285,0.1753335857644157
Apolipoprotein D (Apo D) (ug/ml),2.199181785714286,0.12671996020319612
Apolipoprotein E (Apo E) (ug/ml),1.7486465178571426,0.22218464128490203
Apolipoprotein H (Apo H) (ug/mL),393.9732142857143,90.79046858548361
AXL Receptor Tyrosine Kinase (AXL) (ng/mL),1.2511720535714288,0.12961705582449298
Beta-2-Microglobulin (B2M) (ug/mL),0.4199817857142859,0.14766392176620902
Brain-Derived Neurotrophic Factor (BDNF) (ng/mL),0.1995333035714286,0.4062672036360422
B Lymphocyte Chemoattractant (BLC) (pg/ml),1.5829798214285706,0.25655832321126676
Bone Morphogenetic Protein 6 (BMP-6) (ng/mL),0.8818546428571429,0.41029298578412843
Brain Natriuretic Peptide  (BNP) (pg/ml),3.1563347321428568,0.3670146926311462
Betacellulin (BTC) (pg/mL),2.539401785714285,0.2759132174937865
Complement C3 (C3) (mg/mL),0.2643929464285715,0.08585164707595759
